file	complexity	coverage	spikiness	entropy
Undetermined_S0_.trimmed.mdup.bam	23946930.5260588	0.0108759508150293	0.239213748776388	7.87680789950657
blm-1-negctrl-c10-w25_.trimmed.mdup.bam	126.876122281277	1.17832335719306e-06	2	2.94443897916644
blm-1-negctrl-c5-w25-3d6_S125_.trimmed.mdup.bam	20826.74770053	0.000102661139166801	1.25546605293441	7.08483387083283
blm-1-negctrl-c9-w25-3d6_S321_.trimmed.mdup.bam	5273.06009853352	4.40363950558354e-05	1.62611275964392	6.32524326065647
blm-1-negctrl-c9-w25_.trimmed.mdup.bam	242.910910329053	1.6313253843195e-06	2	3.25809653802148
blm-1-single-c1-w1-3d6_S1_.trimmed.mdup.bam	337166.499813234	0.000391949075580571	0.690179625016389	7.66560141203567
blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam	2091673.93019264	0.0022923071505634	0.342349217750443	7.84995339871513
blm-1-single-c1-w13-3d6_S7_.trimmed.mdup.bam	284584.882562736	0.000433561472655657	0.678261916225325	7.67487036323126
blm-1-single-c1-w15-3d6_S8_.trimmed.mdup.bam	267394.571321829	0.000329286169725293	0.734815278647464	7.63184135393499
blm-1-single-c1-w17-3d6_S9_.trimmed.mdup.bam	412182.892261339	0.000363655067624669	0.690805078833543	7.67929174364344
blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam	1189783.65905285	0.00172710730399645	0.385500090323358	7.83813883748876
blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam	1350696.6429334	0.00157448868680881	0.367352311996051	7.85679009471859
blm-1-single-c1-w23-3d6_S12_.trimmed.mdup.bam	236627.056704014	0.000298083752757489	0.782113259668508	7.59763696555421
blm-1-single-c1-w27-3d6_S14_.trimmed.mdup.bam	231898.969587869	0.000292384799449823	0.807991513437058	7.57024007466419
blm-1-single-c1-w29-3d6_S15_.trimmed.mdup.bam	499133.068260689	0.000433825696854467	0.708539167254764	7.56937537579582
blm-1-single-c1-w3-3d6_S2_.trimmed.mdup.bam	378454.565503609	0.000492937118625741	0.627364438839849	7.7055763104427
blm-1-single-c1-w31-3d6_S16_.trimmed.mdup.bam	338785.602835752	0.000472932497299171	0.650236030299704	7.69627427205432
blm-1-single-c1-w33-3d6_S17_.trimmed.mdup.bam	328068.865094059	0.000406269314786909	0.709008097165992	7.51416444858249
blm-1-single-c1-w35-3d6_S18_.trimmed.mdup.bam	971709.860008366	0.00129775884733431	0.412626966739693	7.83852699972178
blm-1-single-c1-w37-3d6_S19_.trimmed.mdup.bam	278153.774815584	0.000345345237298799	0.727585690764856	7.64215162793046
blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam	1384162.2119679	0.00162365187321239	0.419591707548663	7.82696287982177
blm-1-single-c1-w43-3d6_S22_.trimmed.mdup.bam	311569.599831954	0.000325853197965754	0.761882204326544	7.5472640484352
blm-1-single-c1-w45-3d6_S23_.trimmed.mdup.bam	158266.020289905	0.00020388976870672	0.904292929292929	7.48196639168567
blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam	831122.547116245	0.000709572790687556	0.552298850574713	7.78021405986998
blm-1-single-c1-w49-3d6_S25_.trimmed.mdup.bam	106926.923174973	0.000140208174947697	1.07448789571695	7.27728929200668
blm-1-single-c1-w5-3d6_S3_.trimmed.mdup.bam	360225.893691381	0.000398403140201504	0.694612318374695	7.67357739916754
blm-1-single-c1-w7-3d6_S4_.trimmed.mdup.bam	352015.536799414	0.000657026822170047	0.594460285132383	7.66528264512028
blm-1-single-c1-w9-3d6_S5_.trimmed.mdup.bam	969741.181344119	0.00107232509229962	0.456371356328419	7.81185285957488
blm-1-single-c10-w10_.trimmed.mdup.bam	2695448.05313995	0.0115255887499535	0.189974563860127	7.91501663183483
blm-1-single-c10-w11_.trimmed.mdup.bam	689376.120929103	0.00457680867792028	0.275052557813595	7.89262588520965
blm-1-single-c10-w12_.trimmed.mdup.bam	805084.97256407	0.00547918936356447	0.248718885106082	7.89846925377196
blm-1-single-c10-w13_.trimmed.mdup.bam	NA	9.23165675008909e-07	2	2.83321334405622
blm-1-single-c10-w14_.trimmed.mdup.bam	498759.116223003	0.00343204179397609	0.309026141696666	7.87211139959787
blm-1-single-c10-w15_.trimmed.mdup.bam	2015407.04755221	0.0102885007652501	0.191639085189492	7.91638999609135
blm-1-single-c10-w16_.trimmed.mdup.bam	188.941343407829	8.61966687784538e-07	2	2.70805020110221
blm-1-single-c10-w17_.trimmed.mdup.bam	389251.570099299	0.000955648737450112	0.467323443496191	7.83432316577559
blm-1-single-c10-w18_.trimmed.mdup.bam	NA	1.53839358890471e-06	2	3.20477752413226
blm-1-single-c10-w19_.trimmed.mdup.bam	1750972.85835041	0.0117498134202353	0.192692356064459	7.91371291926265
blm-1-single-c10-w1_.trimmed.mdup.bam	2295945.09806803	0.00923578298656634	0.259986815248672	7.88056650859732
blm-1-single-c10-w20_.trimmed.mdup.bam	1299457.76083492	0.0176312692314964	0.204806139302302	7.89898527722248
blm-1-single-c10-w21_.trimmed.mdup.bam	516798.817919423	0.0028172409777742	0.321474007457776	7.88357677405918
blm-1-single-c10-w22_.trimmed.mdup.bam	567901.351127543	0.00363043952023671	0.347348537848048	7.83483486124477
blm-1-single-c10-w23_.trimmed.mdup.bam	952376.512298872	0.00589274945293521	0.254452294913974	7.89886391589625
blm-1-single-c10-w24_.trimmed.mdup.bam	947346.289408548	0.00284619230818547	0.30581003605414	7.8782318873046
blm-1-single-c10-w26_.trimmed.mdup.bam	874.937938408254	1.62711593017179e-06	1.93333333333333	3.40119738166216
blm-1-single-c10-w27_.trimmed.mdup.bam	350229.036378463	0.00122753058096311	0.432072307118897	7.83692090936695
blm-1-single-c10-w28_.trimmed.mdup.bam	1799105.51506094	0.0083662088437244	0.257664858692549	7.86542996597553
blm-1-single-c10-w29_.trimmed.mdup.bam	359825.238974293	0.00138874749395369	0.478914283335415	7.75534939996562
blm-1-single-c10-w2_.trimmed.mdup.bam	334319.681369538	0.00198153351257139	0.37695919791865	7.84899510411235
blm-1-single-c10-w30_.trimmed.mdup.bam	1320362.06544115	0.00748721459010822	0.22061893548441	7.90517841792654
blm-1-single-c10-w31_.trimmed.mdup.bam	2529166.43541882	0.0160785220515563	0.217775775155594	7.88570242974163
blm-1-single-c10-w32_.trimmed.mdup.bam	907030.797244201	0.00513569013381152	0.253159490600364	7.89331113108521
blm-1-single-c10-w33_.trimmed.mdup.bam	1644724.47344615	0.00992597318372869	0.21643259853718	7.83779704443913
blm-1-single-c10-w34_.trimmed.mdup.bam	2137888.38560281	0.0125446127624224	0.19372965258886	7.9090077971995
blm-1-single-c10-w35_.trimmed.mdup.bam	489.98273638003	1.7287904380472e-06	2	3.43398720448515
blm-1-single-c10-w36_.trimmed.mdup.bam	626965.766752899	0.00384739349179293	0.28350083063309	7.88708804036417
blm-1-single-c10-w37_.trimmed.mdup.bam	1398774.6839277	0.00628653773617417	0.238835117123437	7.87008806666913
blm-1-single-c10-w38_.trimmed.mdup.bam	1076365.59520456	0.00652145798183696	0.227523465703971	7.90396234149186
blm-1-single-c10-w39_.trimmed.mdup.bam	NA	1.37519628963972e-06	2	3.29583686600433
blm-1-single-c10-w3_.trimmed.mdup.bam	623035.335607186	0.00362723450660948	0.296730785819029	7.88532203606571
blm-1-single-c10-w40_.trimmed.mdup.bam	569152.919120799	0.00483830741707171	0.289757351951799	7.87952490649573
blm-1-single-c10-w41_.trimmed.mdup.bam	3076232.3654636	0.0138615978058701	0.177373773815046	7.91336272748116
blm-1-single-c10-w42_.trimmed.mdup.bam	985354.254818805	0.0068471159258911	0.241105334431849	7.89585216404422
blm-1-single-c10-w43_.trimmed.mdup.bam	531098.228137095	0.00355779632240138	0.354450100541657	7.85380332046371
blm-1-single-c10-w44_.trimmed.mdup.bam	2787483.30033063	0.016449579930006	0.224086006841453	7.87074179225775
blm-1-single-c10-w45_.trimmed.mdup.bam	774136.272982967	0.00362627442725964	0.36418858854904	7.81238437618221
blm-1-single-c10-w46_.trimmed.mdup.bam	329.584641563348	1.56818357210388e-06	2	3.29583686600433
blm-1-single-c10-w47_.trimmed.mdup.bam	498343.472663513	0.00242955640304942	0.342271761158618	7.86750601319949
blm-1-single-c10-w48_.trimmed.mdup.bam	642.550477497865	2.19085898179947e-06	1.95	3.65422209508594
blm-1-single-c10-w49_.trimmed.mdup.bam	4353.38552008755	2.94143703675234e-06	1.89830508474576	4.02167580210904
blm-1-single-c10-w4_.trimmed.mdup.bam	540885.887574931	0.00282353605455001	0.324025974025974	7.8802577172733
blm-1-single-c10-w5_.trimmed.mdup.bam	4212218.08980445	0.0209549512568022	0.218602109277799	7.89569964278724
blm-1-single-c10-w6_.trimmed.mdup.bam	535409.209907093	0.00353068258062766	0.350092360590376	7.71210006907617
blm-1-single-c10-w7_.trimmed.mdup.bam	2048706.63669698	0.00847253447462886	0.280137214599189	7.83272900487481
blm-1-single-c10-w8_.trimmed.mdup.bam	3514966.85604668	0.0205077352863038	0.187319735199592	7.86815541719496
blm-1-single-c10-w9_.trimmed.mdup.bam	NA	1.13072414490744e-06	2	3.09104245335832
blm-1-single-c5-w1-3d6_S101_.trimmed.mdup.bam	567357.382099408	0.00219493956188942	0.373239986466439	7.82871717882887
blm-1-single-c5-w10-3d6_S110_.trimmed.mdup.bam	1507541.9297311	0.00668066666139492	0.358252563070786	7.78393127163521
blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam	1521341.1370305	0.00809822819279383	0.257713814690222	7.86474456229079
blm-1-single-c5-w12-3d6_S112_.trimmed.mdup.bam	2009125.50357125	0.0127696203911756	0.338846415680205	7.78480433594089
blm-1-single-c5-w13-3d6_S113_.trimmed.mdup.bam	1843856.58134731	0.0108658805054914	0.261548149913197	7.85877232340572
blm-1-single-c5-w14-3d6_S114_.trimmed.mdup.bam	3509851.64123882	0.0238515197217941	0.271462400645637	7.84954417355303
blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam	1847490.97342023	0.0072522619640289	0.258240629543012	7.8608491375593
blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	1408670.03977622	0.00697511344576879	0.276099836556797	7.85481218385165
blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam	1517578.55763463	0.00882748212444692	0.250822562507809	7.86233582030111
blm-1-single-c5-w2-3d6_S102_.trimmed.mdup.bam	13376.1920207489	6.47206813251774e-05	1.42245989304813	6.74550292324491
blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam	2121072.44808369	0.00885385403087814	0.246952217580892	7.8688867575425
blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam	1743963.43426818	0.0087282869850645	0.269231031310688	7.85796003745337
blm-1-single-c5-w23-3d6_S123_.trimmed.mdup.bam	1210462.86760481	0.00470287923921082	0.304242704055597	7.8407446511523
blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	1044910.94038758	0.00397635368145378	0.305615069379538	7.86301675579296
blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam	1167664.69188291	0.00586810827976702	0.296558232035229	7.84902099206626
blm-1-single-c5-w29-3d6_S129_.trimmed.mdup.bam	13300.4264184903	5.13624642936735e-05	1.53812154696133	6.59287244561451
blm-1-single-c5-w3-3d6_S103_.trimmed.mdup.bam	2107829.94236052	0.0160764584476114	0.247301414933791	7.85943399347985
blm-1-single-c5-w30-3d6_S130_.trimmed.mdup.bam	1365061.13672761	0.00608561336601242	0.336990851404929	7.78330624451928
blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam	1593005.57510195	0.00857420606826679	0.261429224225808	7.85780890383133
blm-1-single-c5-w32-3d6_S132_.trimmed.mdup.bam	5787628.24852475	0.0351559754836352	0.182871034578668	7.89708873671366
blm-1-single-c5-w33-3d6_S133_.trimmed.mdup.bam	1460589.97874221	0.00662854066687968	0.35249686012984	7.7778727640701
blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam	2033326.52776269	0.00886957407549068	0.256531083026085	7.86784361167641
blm-1-single-c5-w35-3d6_S135_.trimmed.mdup.bam	1309091.6601639	0.00647898199905327	0.324263746761956	7.81909919953202
blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam	3553276.14782669	0.0154580400912758	0.211362721454934	7.88877987714962
blm-1-single-c5-w38-3d6_S138_.trimmed.mdup.bam	1307119.22687233	0.00449079754892849	0.284169729200898	7.85378219158594
blm-1-single-c5-w39-3d6_S139_.trimmed.mdup.bam	1599765.04184502	0.00641181173921829	0.302338119799436	7.85156596095128
blm-1-single-c5-w4-3d6_S104_.trimmed.mdup.bam	1294495.02443532	0.00499620728019389	0.318071020679079	7.82450265154632
blm-1-single-c5-w40-3d6_S140_.trimmed.mdup.bam	1451705.9710512	0.00694669218277596	0.348700697435375	7.79203767878054
blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	1071161.90246522	0.00345890232089261	0.319269226420276	7.83460716467105
blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam	2676856.26585499	0.0114868870285195	0.22845331403792	7.87643250318693
blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam	2183522.46600773	0.00833458969079597	0.25577914632723	7.87372559311234
blm-1-single-c5-w44-3d6_S144_.trimmed.mdup.bam	1478528.67241339	0.00673015656620119	0.270052380661861	7.83768687074215
blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam	2540948.66592516	0.00932171866918764	0.24698475123816	7.87465726514616
blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	1002875.83696168	0.00355312059025577	0.318349323336934	7.84330855642157
blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam	1212941.63593303	0.00530151057061887	0.290441740655486	7.85146697135279
blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	1246491.41153011	0.00601785863965924	0.288199563602052	7.85241310232621
blm-1-single-c5-w7-3d6_S107_.trimmed.mdup.bam	4393277.53244009	0.0236332546671729	0.189360891975948	7.87553048790096
blm-1-single-c5-w9-3d6_S109_.trimmed.mdup.bam	1124474.81700409	0.00509350525097235	0.403608158575122	7.73062819412664
blm-1-single-c9-w10_.trimmed.mdup.bam	1925618.64458228	0.00521015116823033	0.253450106157113	7.89156737317957
blm-1-single-c9-w11_.trimmed.mdup.bam	958288.378721438	0.00346712856570973	0.289281859692819	7.89211395493391
blm-1-single-c9-w12_.trimmed.mdup.bam	963989.491045307	0.00363002861275106	0.318478243538435	7.73110589481042
blm-1-single-c9-w13_.trimmed.mdup.bam	2772674.91226424	0.00765437233811787	0.234947362277393	7.90061771550354
blm-1-single-c9-w14-3d6_S310_.trimmed.mdup.bam	1326502.86284676	0.00796987902159273	0.296841355165523	7.83891606185589
blm-1-single-c9-w14_.trimmed.mdup.bam	1717956.23947878	0.0072993764414792	0.237157465202174	7.89923314758153
blm-1-single-c9-w15_.trimmed.mdup.bam	2737024.64732853	0.007970077513546	0.225534540915434	7.89954835228414
blm-1-single-c9-w16-3d6_S312_.trimmed.mdup.bam	2395746.76014842	0.0132608814994423	0.317034809440567	7.79920691956142
blm-1-single-c9-w16_.trimmed.mdup.bam	634194.205949505	0.0020522568755112	0.34929624385775	7.8716851402192
blm-1-single-c9-w17_.trimmed.mdup.bam	2377601.68195796	0.00409750857171229	0.327803151553005	7.8622608623549
blm-1-single-c9-w18-3d6_S314_.trimmed.mdup.bam	1689402.08935742	0.0122233511075193	0.310083664980683	7.79841719526803
blm-1-single-c9-w18_.trimmed.mdup.bam	1110652.96256366	0.00394955111548283	0.270567283467987	7.88696269461239
blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	1094330.86971913	0.00661473171445021	0.27690491582113	7.85952229525133
blm-1-single-c9-w19_.trimmed.mdup.bam	908554.717439434	0.00373591678422833	0.288208307889834	7.87993738452921
blm-1-single-c9-w1_.trimmed.mdup.bam	547761.241145811	0.00173091167913348	0.370944073047448	7.86863395514099
blm-1-single-c9-w20_.trimmed.mdup.bam	1240979.08553704	0.00404625101996814	0.361392646622281	7.8031733183935
blm-1-single-c9-w21-3d6_S317_.trimmed.mdup.bam	845686.381576087	0.00370352827260337	0.31396249071748	7.80889943003035
blm-1-single-c9-w21_.trimmed.mdup.bam	4088871.90566387	0.013633039016837	0.291115848138863	7.84608755916657
blm-1-single-c9-w22_.trimmed.mdup.bam	1319808.61104378	0.00428149798403364	0.281202928041014	7.86714983842304
blm-1-single-c9-w23_.trimmed.mdup.bam	1059124.53004849	0.00331600009529038	0.292716896528297	7.87032337877326
blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	1169992.64011024	0.00583687283477437	0.275534952261075	7.86265336931837
blm-1-single-c9-w24_.trimmed.mdup.bam	851745.304681694	0.00259135227788739	0.39165816714047	7.80883017019161
blm-1-single-c9-w26_.trimmed.mdup.bam	1786483.1661023	0.00670024839448173	0.277323028886378	7.87857355705441
blm-1-single-c9-w27_.trimmed.mdup.bam	156.571097790459	5.77342826566428e-07	2	2.39789527279837
blm-1-single-c9-w28_.trimmed.mdup.bam	NA	5.87704559853094e-07	2	2.484906649788
blm-1-single-c9-w29-3d6_S325_.trimmed.mdup.bam	1203796.63580269	0.00391361791966133	0.352090537566803	7.81787872043482
blm-1-single-c9-w29_.trimmed.mdup.bam	1106.39879862765	1.47881362250638e-06	2	3.31949257615475
blm-1-single-c9-w2_.trimmed.mdup.bam	327.408946638986	1.09866753255182e-06	2	2.99573227355399
blm-1-single-c9-w30-3d6_S326_.trimmed.mdup.bam	701081.775029571	0.00213610078322525	0.366925806114995	7.83346551984005
blm-1-single-c9-w30_.trimmed.mdup.bam	1061499.70753595	0.00370795823738758	0.358976738431081	7.83625487728627
blm-1-single-c9-w31_.trimmed.mdup.bam	1269223.40899953	0.00523568798371949	0.246370504279513	7.89745802757493
